,Snow Depth,target,Temp,Precipitation,Precip Amount,Luftfuktighet
362,0.1,0.1,-5.0,none,0.0,79.065248381965
363,0.1,0.1,-5.5,snowfall,0.001,79.065248381965
364,0.1,0.1,-5.5,snowfall,0.001,79.065248381965
365,0.1,0.12,-8.0,snowfall,0.0007,79.065248381965
366,0.1,0.12,-8.0,snowfall,0.0007,79.065248381965
367,0.12,0.15,-8.9,snowfall,0.0047,79.065248381965
368,0.12,0.15,-8.9,snowfall,0.0047,79.065248381965
369,0.15,0.2,-8.2,snowfall,0.0013000000000000002,79.065248381965
370,0.15,0.2,-8.2,snowfall,0.0013000000000000002,79.065248381965
371,0.2,0.22,-3.9,snowfall,0.0047,79.065248381965
372,0.2,0.22,-3.9,snowfall,0.0047,79.065248381965
373,0.22,0.28,-3.6,snowfall,0.0068,79.065248381965
374,0.22,0.28,-3.6,snowfall,0.0068,79.065248381965
375,0.28,0.28,-4.7,snowfall,0.0006,79.065248381965
376,0.28,0.28,-4.7,snowfall,0.0006,79.065248381965
377,0.28,0.28,-2.5,snowfall,0.0,79.065248381965
378,0.28,0.28,-5.0,none,0.0,79.065248381965
379,0.28,0.28,-4.2,none,0.0,79.065248381965
380,0.28,0.28,-4.2,regn,0.0005,79.065248381965
381,0.28,0.26,-1.0,regn,0.0083,79.065248381965
382,0.28,0.26,-1.0,snöblandat regn,0.0083,79.065248381965
383,0.28,0.26,-1.0,regn,0.0083,79.065248381965
384,0.26,0.25,0.7,snöblandat regn,0.0045000000000000005,79.065248381965
385,0.26,0.25,0.7,regn,0.0045000000000000005,79.065248381965
386,0.25,0.25,0.1,regn,0.0005,79.065248381965
387,0.25,0.25,0.1,snowfall,0.0005,79.065248381965
388,0.25,0.25,-0.8,snowfall,0.0037,79.065248381965
389,0.25,0.25,-0.8,snowfall,0.0037,79.065248381965
390,0.25,0.25,-1.0,snowfall,0.0005,79.065248381965
391,0.25,0.25,-1.0,snowfall,0.0005,79.065248381965
392,0.25,0.23,-0.5,snowfall,0.0008,79.065248381965
393,0.25,0.23,-0.5,regn,0.0008,79.065248381965
394,0.25,0.23,-0.5,regn,0.0008,79.065248381965
395,0.25,0.23,-0.5,snowfall,0.0008,79.065248381965
396,0.23,0.19,-0.2,snowfall,0.0002,79.065248381965
397,0.23,0.19,-0.2,regn,0.0002,79.065248381965
398,0.19,0.18,0.1,regn,0.0,79.065248381965
399,0.18,0.17,-0.1,none,0.0,79.065248381965
400,0.17,0.17,-0.4,none,0.0,79.065248381965
401,0.17,0.15,-0.6,none,0.0,79.065248381965
402,0.15,0.15,-0.2,none,0.0,79.065248381965
403,0.15,0.15,-1.6,none,0.0,79.065248381965
404,0.15,0.15,-2.2,none,0.0,79.065248381965
405,0.15,0.15,-0.3,none,0.0,79.065248381965
406,0.15,0.13,0.3,none,0.0,79.065248381965
407,0.13,0.12,-0.8,none,0.0,79.065248381965
408,0.12,0.1,-2.2,none,0.0,79.065248381965
409,0.1,0.1,-1.9,none,0.0,79.065248381965
410,0.1,0.1,-1.6,none,0.0,79.065248381965
411,0.1,0.09,-1.7,none,0.0,79.065248381965
412,0.09,0.09,-1.7,none,0.0,79.065248381965
413,0.09,0.09,-1.6,snowfall,0.0007,79.065248381965
414,0.09,0.09,-1.6,snowfall,0.0007,79.065248381965
415,0.09,0.09,-2.2,snowfall,0.0003,79.065248381965
416,0.09,0.09,-2.2,snowfall,0.0003,79.065248381965
417,0.09,0.09,-2.3,none,0.0,79.065248381965
418,0.09,0.09,-1.9,snowfall,0.0013000000000000002,79.065248381965
419,0.09,0.09,-1.9,snowfall,0.0013000000000000002,79.065248381965
420,0.09,0.09,-1.0,snowfall,0.0007,79.065248381965
421,0.09,0.09,-1.0,snowfall,0.0007,79.065248381965
422,0.09,0.09,-0.9,snowfall,0.0008,79.065248381965
423,0.09,0.09,-0.9,snowfall,0.0008,79.065248381965
424,0.09,0.11,-1.2,snowfall,0.0033,79.065248381965
425,0.09,0.11,-1.2,snowfall,0.0033,79.065248381965
426,0.11,0.11,-1.2,duggregn,0.0016,79.065248381965
427,0.11,0.11,-1.2,snowfall,0.0016,79.065248381965
428,0.11,0.11,-1.2,duggregn,0.0016,79.065248381965
429,0.11,0.11,-1.2,snowfall,0.0016,79.065248381965
430,0.11,0.14,-0.9,snowfall,0.0067,79.065248381965
431,0.11,0.14,-0.9,snowfall,0.0067,79.065248381965
432,0.14,0.14,-1.3,snowfall,0.0,79.065248381965
433,0.14,0.14,-4.4,none,0.0,79.065248381965
434,0.14,0.14,-5.4,none,0.0,79.065248381965
435,0.14,0.14,-5.2,none,0.0,79.065248381965
436,0.14,0.1,-0.6,none,0.0,79.065248381965
437,0.1,0.08,-0.7,regn,0.0002,79.065248381965
438,0.08,0.05,3.6,regn,0.0008,79.065248381965
439,0.08,0.05,3.6,regn,0.0008,79.065248381965
440,0.05,0.0,3.9,none,0.0,79.065248381965
